Location_Coordinates,Hospital_Name,Address_Original_First_Line
"13.017604, 77.6836792",Sri Balaji Polyclinic and Diagnostic Centr,"Shanthi Layout Main Road, Ramamurthy Nagar"
"13.0153803, 77.677642",Sri Sai Eye Hospital,"#311, 4B Cross, R.M. Nagar Main Road, Kasthuri Nagar"
"12.9709184, 77.6318371",Vijai Hospital - Bangalore,"1St Main Road 2Nd Cross Pai Lay Out, Old Madras Road"
"12.9643314, 77.6716809",Hal Hospital,"Vimanpura Post,  Complex,"
"43.9932901, -107.9492606",Manipal Hospital,"No. 98, Rusthom Bhag, Airport Road"
"13.0365214, 77.591099",Nova Medical Centres Pvt Ltd,"222/14, 5Th Main, Bellary Road, Bellary Road"
"12.9621596, 77.6723254",Shree Anugraha Hospital,"Annasandra Palya Main Road, Hal Post"
"12.9561171, 77.5558117",Amar Nursing Home,"No.9, 6Th Cross, 5Th Main, Chamarapet"
"12.9578825, 77.5690132",Brindavan Nursing Home,No 17 4Th Mein Road Chamarajpet
"12.9581124, 77.5712995",Jubilee Nursing Home,"248,4 Th Main Road Chamarajpet"
"12.9323546, 77.5642029",Nethrakashi Eye Hospital And Micro Surgical Centre,"No 122, Ii Main Road 9Th Cross Chamarape"
"12.9567051, 77.5626974",Retina Institute Of Karnataka,"No. 122, 5Th Main Road,Chamarajapet"
"12.9594417, 77.5678213",Shree Nandi Hospital,"7, 2Nd Main Road, Chamarajpet"
"12.952309, 77.5779576",Sirasi Road Meternity Home,"Mysore Rd Circle,Chamarajpet"
"-33.7659967, 150.7741332",St. Marys Hospital,Chamarajapet
"12.9571328, 77.5643107",The Venlakh Hospital,"123, 5Th Main Road, Chamarajpet"
"12.9701331, 77.5785466",B.S. Narayan Memorial Hospital,"618, Sri Mallikarjuna Swamy Temple St, N.R. Colony"
"12.9360846, 77.5668069",Balaji Hospital and Gastroenterology Center,"#118, 5 Th Main , 7Th Cross, N R Colony , Bull Temple Road"
"12.9548697, 77.567273",Kalasa Maternity Home,"127/1, Bull Temple Road"
"12.9420409, 77.5579577",Kamala Nursing Home,"1077, 14Th Main Road, Hanumanthnagar"
"12.945843, 77.5674499",Shekhar Hospital,"No.81,Bulltemple Road,Near Ramakrishna Ashram"
"12.9425877, 77.564264",Vishwabharathi Hospital Pvt. Ltd,"No.10/4 & 10/5, 3Rd Main Road, Hanumanthanagar"
"12.9785849, 80.2320987",Apollo Rm Hospital,"No.65, 1St Main Road, Seshadripuram"
"12.9920891, 77.5794397",Fortis Hospital,"No 65, 1St Main Road, Sheshadripuram"
"12.991069, 77.5777401",Jayashree Nursing Home,"No 4, 4Th Cross Kumara Park West"
"12.9982021, 77.580725",Lakshmi Nursing Home,No. 88 2Nd Main Road Seshadripuram
"12.9961984, 77.5734176",Sri Maruthi Nursing Home,"No.67,Link Road,Sheshadripuram"
"12.9995007, 77.5599848",Nayak Hospital,"No 3367,5Th Cross, Gayathri Nagar"
"13.0103758, 77.5590452","Nethradhama Superspeciality Eye Hospital - Rajajinagar, Bangalore","No.607/77, 1St Main, Dr.Rajkumar Road, Rajajinagar 2Nd Block"
"17.4738037, 78.5641765",Supriya Hospital,15/1 Iyappaswamy Templestraight Road
"13.026508, 77.5581871",Acharya Tulsi Jain Hospital,"No. 22/21, 6Th Cross, K N Extn, Yeshwanth Pur"
"13.0222723, 77.5589993",Kala Hospital,"1105, 5Th Cross,Kn Extension, Yeshwanthpur"
"13.01781, 77.544225",Mysore Hospital,"No. 35/6, Industrial Suburb, Goragunte Palya, Yashwantpur"
"13.0229714, 77.5526778",Yeshvanthpura Meternity Home,"Near Yeshvanth Pura, Railway Station"
"12.9865934, 77.3746046",L.R Hospital,"Magadi Main Road,Banglore"
"-1.8996701, 36.301039",Magadi Road Meternity Home,"2Nd Cross, Magadi Rd"
"12.9865934, 77.3746046",Supriya Nursing Home,No 9/A Magadi Main Road
"12.9715987, 77.5945627",Bangalore Baptist Hospital,Bellary Road Hebbal
"13.0353782, 77.5887614",Columbia Asia,"Kirloskar Business Park, Bellary Road Hebbal"
"12.956869, 77.604755",Dr Agarwal's Eye Hospital,"15, Eagle Street Langford Town Shanti Nagar"
"12.9687069, 77.6145906",Hosmat Hospital,45 Magrath Road Off Richmond Road
"12.9582183, 77.6044998",Nephrolife Care India Pvt.Ltd,"No.2,Setlur Street,Shanthinagar"
"12.9663958, 77.5945236",Republic Hospital,"No. 5, Langford Gardens, Near Richmond Circle"
"12.9668015, 77.6000686",Sankarambal Nursing Home,#10 C J D Souza Road Banglore
"12.9013459, 77.4679494",Azad Nagar Meternity Home,"Kasturabanagar, Mysore Rd,  South"
"12.9550299, 77.5446814",Balaji Nursing Home,"1/1,1/2,1/3, New Guddadahalli, Mysore Road"
"12.957204, 77.5522639",Soubhagya Medical Centre and Hospital,"No.151/1, Mysore Road"
"12.9444846, 77.5483282",Sri Ram Nursing Home,"No 19, & 56, 6Th Cross, 40 Ft Road, Muneshwara Block"
"12.9426735, 77.5470011",Venkateshwara Maternity and Surgical Center,"No.5/A, 50 Feet Road, Munieshwara Block, Avalahalli"
"12.949509, 77.598059",Agadi Hospital,"35, Siddiah Road, Wilson Garden"
"12.9715987, 77.5945627","Bangalore Heart Hospital,","No. 5/1 , Hosur Road"
"13.0001603, 77.5411082",Bangalore Institute Of Oncology,"44-45/2, 2Nd Cross Raja Rammohan Roy Extn Off Lalbagh Double Road"
"12.9671048, 77.5893263",Bangalore Kidney Stones Hospial,"10, Vokkaligara Bhavana, Hudson Circle"
"12.9628608, 77.5917086",H.C.G Bangalore Institute Of Oncology Speciality C,"7/1, H.C.G Tower, P.Kalinga Rao Road, Sampangiramnagar"
"12.9489069, 77.5949809",Karthik Hospital,"56, 8Th Cross, Wilson Garden"
"12.948484, 77.593987",Manjunath Hospital,"87/2, 8Th Cross,Wilson Garden"
"12.9634179, 77.5938311",Raheja Diagnostics,"18/4 , 1St Main Road , Sampangiramanagar"
"12.9570335, 77.5968356",Shantinagar Meternity Hospital,"Nanjappa Circle,Langford Rd, East"
"12.9472971, 77.5965842",V.S. Specialist Medical Centre and Neurological Research Institute Pvt. Ltd.,"196, 10Th Cross, Wilson Gardens"
"12.9607569, 77.594633",Yellamma Dassappa Hospital - Bangalore,"25, Andree Road Shanthi Nagar"
"12.962606, 77.6812236",Kareem E.N.T and Multispeciality Centre,"No.53, 3Rd Main Road, Opposite To Maruti Layout, B.T.M Layout 1St Stage"
"12.9372107, 77.6018794",Kidwai Memorial Institute Of Oncology,Dr. M.H. Marigowda Road
"12.7409127, 77.8252923",Prasad Eye Hospital,"#11, Krishna Nagar Industrial Layout, D.R.C.Post,Near Christ College,Hosur"
"12.9233712, 77.6123492",Spurthy Hospital,"#22, 1St Main, Chocolate Factory Rd, Tavarekere Btm Layout"
"12.9237111, 77.5874615",Deepti Nursing Home,"449/1, 15Th Main Lakksandra"
"12.9418628, 77.6081249",Sankalpa Nursing Home,"No.44/22,Srinivasa Complex, Najjappa Layout,Hosur Road, Adugodi"
"12.9426465, 77.599995",Shiva Nursing Home,"#20 (Old#310),7Th Main,16Th Cross,Lakkasandra Extension"
"12.9430799, 77.6013678",Sree Venkateshwara Speciality Hospital,"1, 1St Cross, Gupta Layout,Lakksandra, Near Dairy Circle"
"12.7409127, 77.8252923",The Apollo Clinic and Surgical Centre,"60/3, Konapana Agrahara, Opposite Infosys Convention Centre , Hosur"
"13.0252889, 77.5859294",Amazon Hospital,"18/10, Ganganagar , 1St Main 7Th Cross"
"13.0263835, 77.5931572",Asha Kiran Children Health Care Centre,# 9 80 Fet Road H M T Layout R T Nagar
"13.0225809, 77.5931039",Chaitanya Hospital,"No 80, P&T Colony R T Nagar"
"12.9683434, 77.6508082",Dr Chaitanyas Hospital,"Ist Floor, Lic Colony Main Road, Jeevan Bhima Nagar"
"13.025502, 77.5576219",Dr.T.V.Ramesh Piles Hospital,"1St Main Road, 7Th Cross, Ganganagar"
"12.9589564, 77.568118",Ganga Hospital and Clinical Laboratory,"249, 5Th Cross, 3Rd Main. Ganganagar"
"13.0248077, 77.593845",Geeta Nursing Home,"No. 71, Hmt Layout, Dinnur Main Road, R.T. Nagar"
"13.0345251, 77.5745848",Lakshmi Hospital,"402, 2Nd Cross Judges Colony Ganganagar"
"12.9670443, 80.2091237",Medicare Hospital,"#66, 1St `A` Main, Bhuvaneshwarinagar, R.T.Nagar Post"
"29.9038399, 73.8771901",North Side Health Centre,"Cbi Road, (10Th Cross) Between 2 Nd & 3Nd Main Ganganagar"
"12.9530908, 77.6535137",Petal Hospital,"# 34, I St Main,C.B.I.Road,Ganganagar"
"13.0241721, 77.5960331",Premier Hospital,"No.2, Ex-Servicemen Colony, 5Th Cross, Dinnur Main Road, R.T.Nagar"
"13.029083, 77.5904031",Sarojini Hospital,"34, 1St Main, Cbi Road, Ganganagar"
"13.0297169, 77.6047757",Sm Hospital,"No 9 3Rd Cross, Manorayanapalyu Sultanpalya Main Rd, R T Nagar"
"13.0166308, 77.5967556",V-Care Hoapitals and Diagnostic Center,"No. 29 1St Main Road, A 1St Block Devegowda Road ,Rt Nagar"
"13.0017513, 77.6312199",Kamath Nursing Home,"# 1, Venkatram Layout Banaswadi Main Road Maruthi Sevanagar"
"13.0156412, 77.6512586",Piles Clinic and Hospital,"517,Ramaswamy Palya Bus Stop"
"26.881779, 75.7797559",Pratham Ent and Child Care Centre,"# 924, 80 Feet Road, Kalyan Nagar, Next To Adigas Hotel"
"12.9182699, 77.6380713",Annayya Healthcare Pvt Ltd,"No.14, 14Th Main,Hsr 5Th Sector,Koramangala"
"12.9683482, 77.6487167",Beams Hospitals Private Limited,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala"
"12.9279232, 77.6271078",Curie Centre Of Oncology,"St. Johns Medical College Hospital, Campus, Gate No. 2,P.O.Koramangala"
"12.9159823, 77.6294511",Gold Star Hospital and Research Center,"L-168 , Sector -6 , Ring Road , Hsr Layout"
"12.9200633, 77.6428859",Green View Medical Centre,"# 20,21, 14Th Main Hsr Layout, Sector V ( Opposite Agaram Lake )"
"12.9342661, 77.6204698",Health Care Global Enterprises Ltd,"No-88, 17Th Main A Main, 2Nd Cros, 5Th Block Kormangala"
"12.9273529, 77.6391039",Hgc Curie Centre Of Oncology,"Gate No. 2, St. Johns Medical College Hospital,Campus P. O. Koramangala Koramangala"
"12.9248121, 77.6337109",Kamala Nethralaya,"81, 7Th Cross 4Th Block, Near Bda Complex Koramangala"
"12.922031, 77.645399",Lake View Hospital,"#187/269/186,Ring Road, Agara,Hsr Layout"
"12.9266059, 77.6377755",Marvel Hospital and Fertility Center,"No. 8, 1St Main Road 1St Block, Koramangala"
"12.924756, 77.6382941",Murthy Health and Research Centre,97 Sarjapur Road 1St Block Koramangala
"12.9337039, 77.6214323",Novamed Centers India Pvt Ltd,"Opus, 143, 1St Cross, 5Th Block, Koramangala"
"12.9279232, 77.6271078",Sharadha Nursing Home,"No.3&4, 7Nth Main 1St Block OppositeB.T.S Kalyana Mantapa Koramangala"
"12.9159823, 77.6294511",Spatica Super Speciality Hospital,"No.168,Sector 6, Ring Road,Hsr Layout"
"12.9309785, 77.6199608",St John's Medical College Hospital,Johnnagar Sarjapur Road Koramangala
"12.9137705, 77.6292697",Starr Hospital,#: L 168 Hsr Layout Sector 6
"12.9139452, 77.6779284",Dr. Mohan Nursing Home,"Kaikondrahalli Bus Stop, Sarjapur Road, Banglore"
"12.8984402, 77.6903954",Punarjani Ayurvedic Speciality Hospital,"14/2,Chikkanayakanahalli Village, Off Sarjapur Road"
"13.0076532, 77.6980626",Suresh Hospital,"37/, 1St Cross, Devasandra Main Road, K.R.Puram"
"17.4399866, 78.4070375",Deepa Hospital,"No.27, O.M. Road, K.R. Puram"
"13.0050221, 77.7036163",Maithri Nursing Homeand Diagnostic,"Devasandram Main Road Enterance, Krishnarajapuram"
"13.0040167, 77.6877765",Patil Hospital,"No. 42-B1, Below Synicate Bank, Sri Thimmappa Complex, Old Madras Road, Krishnarajapuram"
"12.9600915, 77.7129903",Aayug's Health Care,"#477, I Main 'B' Block, Aecs Layout,,Kundalahalli"
"12.9600915, 77.7129903",Akshay Mallya Hospital,"Main Road, Marathahali, Banglore"
"43.9932901, -107.9492606",Genesis Hospital,"Airport Road, Marath Halli,Opposite Pavan Sagar Hotel"
"13.1004849, 77.5940134",I-Aim Healthcare Centre,"#74/2, Jarakabanda Kaval, Attur Post, Via Yelahanka"
"12.9566252, 77.7073206",Lions Airport City Hospital,"#103, Munnekolal, Verthur Road, Marthahalli Post"
"12.9562059, 77.6943243",M.G.A.Hospital,"96,Varthur Main Road, Marathahalli"
"12.9789998, 77.6953347",Nirmala Nursing Home,"Kishan Arcade, Ferns City Road, Doddanekkundi, Outer Ring Road"
"12.9583404, 77.7155779",Sankara Eye Care Hospital,Airport - Whitefield Road Kundalahalli
"12.9712265, 77.6979487",Sbf Health,"39/4,Doddene Kunde,Marathalli"
"12.9583404, 77.7155779",Shankar Eye Hospital,Airport - Whitefield Road Kundalahalli Gate
"12.9559093, 77.7156859",Sri Kanchi Kamakoti Medical Trust Sankara Eye Hosp,"Hal Airport- Varthur Road, Kundalahalli Gate"
"12.956496, 77.6960739","The Apollo Clinic (Only For Sahara), Bangalore","74/1, Bellandur, Ring Road, Varthur"
"12.9786942, 77.6945322",Vasan Eye Care Hospital,"No 25/5-D, Outer Ring Road Marathalli"
"12.948263, 77.699518",Vims Heart Centre And Hospitals,"No.88, Marathahalli, , Outer Ring Road"
"12.9600447, 77.7083461",Yashomati Hospitals Pvt Ltd,"2371/3, Hal Airportvarthur Road Munnekolala, Marathalli Post"
"18.4713653, 73.8661598",Apoorva Diagnostic Centre,325 1St Floor C M H Road Indirangar
"12.9738195, 77.6461409",Axon Speciality Hospital,"#321,6Th Main, Hal 2Nd Stage Indiranagar"
"12.971684, 77.6274826",Cambridge Hospital,"18/17,Cambridge Road,Ulsoor"
"12.9644774, 77.6416471",Columbia Asian Medical Center-Hebbal,"Salarpuria Palladium, 3Rd Floor, No. 2021 100 Feet Road, Hal 2Nd Stage, Indira Nagar"
"12.9737668, 77.6382716",Laser Vision Netralaya,"No. 157, Defence Colony, 4Th Main Indiranagar"
"12.9703034, 77.6402636",Maruthi Hospital,"No 957 12Th Main Hal Ii Stage , Indiranagar"
"12.9782859, 77.6387567",Narayana Hrudayalaya Cmh Hospital,"Mission Road, Indiranagar, 2Nd Stage, Banglore"
"12.9750457, 77.6362898",Navashakthi Nethralaya,"1332, Double Road, Indiranagar"
"12.97344, 77.635628",Nethradhama Super Speciality Eye Hospital-Indiranagar,"No-66, Double Road, Hal 2Nd Stage Indira Nagar"
"12.9808112, 77.6389895",Rashmi Nursing Home,"166, 9Th Cross 1St Stage Indira Nagar"
"12.9780176, 77.6372673",Sapthagiri Digitial Imaging Center Pvt Ltd,"Chinmaya Mission Hospital Complex, C.M.H Road, Indiranagar"
"12.9805678, 77.6397077",Siddhi Eye Care,"220,7Thcross, 1St Stage Indiranagar"
"12.9724611, 77.652951",Sri Vinayaka Nursing Home,"No.3033 7, 8Th Main, Hal2Nd Stage"
"12.9420288, 77.525297",Mysore Road Hi Tech Hospital,"17, Pantharapalya, Near Nayandahalli Bus Stop Opp Ganesha Temple, Mysore Road Pantharapalya"
"12.9174394, 77.5949199",Shekhar Hospital,"#942, 28Th Main, 9Th Block,Jayanagar"
"12.9601053, 77.5311229",A.M. Hospital,"No.20/1, 2Nd Cross, Widia Layout, Chandra Layout Main Road,Vijayanagar"
"12.9159823, 77.6294511",Bhagavathi Multi Speciality Hospital,"L 168, Sector - 6, Ring Road, Hsr Layout"
"12.974333, 77.542641",Gayathari Hospital Pvt Ltd,"91, Magadi Chord Road, Vijaynagar"
"12.9385484, 77.5667188",Hosahalli Referal Hospital,"5Th Main,7Th Cross, Mc Layout, Vijaynagar,  South"
"12.973229, 77.5414193",Kids Care Clinic,"23, Ist Floor, Iii Main Road, Chandra Layout, Vijayanagar"
"12.9639945, 77.5224481",Manasa Hospital,"No. 107, 6Th Main,2Nd Cross,Vijayanagar"
"13.0576513, 77.5967615",Moodalapallya Meternity Home,"Bhuvaneshwarinagar, Main Rd,  South"
"12.9416561, 77.5830294",Padmashree Nursing Home and Maternity Home,"1108/30 10Th Main 4Th Cross, Rpc Layout, Vijayanagar"
"12.9587229, 77.533835",Sharavathi Hospitals (P) Ltd.,"No.1133/F,30 Ft.Service Road, R.P.C. Layout,Vijaynagar"
"12.9591598, 77.5237398",Sri Vinayaka Hospital,"#1222, 80, Feet Road, Chandra Layout"
"12.9756589, 77.539975",Susheel Hospital,"No. 1869, 5Th Main, 13Th Cross, R.P.C. Lay Out, Vijayanagar"
"13.0336074, 77.5388209",Tanmay Hospital,"66 B/7, Pipe Line Road, Vijayanagara"
"12.98471, 77.5508027",Vaidyam Hospital,"No. 851/D , 5Th Block , Rajajinagar , 60Th Cross"
"12.9713363, 77.5355137",Vidhya Eye Hospital,"47/E, 15Th Main Mc Road Vijayanagar"
"12.983828, 77.6781997",Vijayanagar Global Hospital,"No 46, 17Th Cross, Near Main Bus Stand, M C Road Vijayanagar"
"12.9208296, 77.5836785",Bacc Healthcare Pvt Ltd.,"3 909,47Th Cross,9Th Main, , 5Th Block,Jayanagar"
"12.9250074, 77.5938028",Dr Kamini Rao Hospital(A Unit Of Bacc Health Care Pvt Ltd),"909, 47Th Cross, 9Thmain, 5Th Block, Opposite Adarshapalace Apts And Near Raghavendra Matha, Jayanagar"
"12.9204241, 77.587104",Jayanagar Orthopaedic Centre,"24/1-1, 14Th Main, 4Th Block East Jayanagar"
"12.9188999, 77.6053065",Pulse Diagnostics and Specialist Care Centre,"12/D, 9Th A Main, 5Th Block, 100 Feet Ring Road, Jayanagar"
"12.9250074, 77.5938028",Reddy Orthopaedic and General Nursing Home,"No. 1590 East End Main Road, 39Th Cross, 9Th Block, Jayanagar"
"12.927865, 77.599591",Sagar Apollo Hospital,"44/54, 30Th Cross, Tilak Nagar"
"12.9204609, 77.5920295",Sri Jayadeva Institute Of Cardiology,"Jayanagar 9Th Block, B.G. Road, Banglore"
"12.9172801, 77.5850057",Sri Krishna Sevashrama Hospital,"523, 10Th Main, 45 Cross 5Th Block, Jaya Nagar"
"12.9255982, 77.593679",Sunayana Eye Clinic,"No 1156, 26Th Main Road, 4Th T Block Jayanagar"
"12.9206537, 77.5837995",Tirumalai Eye Clinic And Surgical Centre,"320/B, 9Th Main 5Th Block, Jayanagar Jayanagar"
"12.9864397, 77.6197261",Lakeside Medical Center And Hospital,"# 33/4, Meanee Avenue Road, Near Ulsoor Lake"
"12.9761636, 77.618759",Nikad Ortho Centre,"No.1 Haudin Road, Off Ulsoor Road"
"12.9254199, 77.591849",Sagar Hospital,"Tilaknagar, Jayanagar, 4Th Block,  South"
"12.9848386, 77.6184733",Sai Jyothi Netra Seva,"11, Ulsoor Tank Road Ulsoor Lake"
"13.0136121, 77.650656",Asha Nursing Home,Ranamurthy Nagar Main Road Banaswadi
"12.9950154, 77.5979189",Dr. Sailaja's Super Speciality Eye Hospital,"No.21,22,1St Floor,Horamavu Main Road"
"13.0252077, 77.6345703",Good Shepherd Hospital,"#1,9 Cross 9 Main Hennur Cross, Kalyan Nagar Post"
"13.0189917, 77.6478568",Lokhande S Hospital,"No. 3Ac 902, 3Road A Cross, 1St Block,9Th A Main, Kalyannagar"
"13.0237678, 77.6550583",Nmpc Hospital,"No. 66, 9Th Main , Horamavu Post Horamavu Main Road Banaswadi"
"12.8960835, 77.5997424",Parimala Health Care Services,"Bilekahalli, Bg Road , Near Iimb"
"13.0174438, 77.6478042",Pranav Hospital,"217, 9Th A Main Kalyan Nagar Hrbr Layout Banaswadi"
"13.0377347, 77.6288279",Sakaria Healthcare Pvt. Ltd.,"#797, 10Th Main, 1St Stage, 3Rd Block, Hbr Layout, Kalyan Nagar Post, Near Hbr Layout-Bda"
"13.026291, 77.6313857",Shivam Vishwa Specality Hospital,"201, 2 Cross Road Hbr Second Block Hbr"
"12.9055988, 77.5596236",Sri Sai Hospital,"#978, 18Th Cross,14Th Main, 5Th Block, 1St Stage,H.B.R.Layout"
"13.0150502, 77.6511606",Srinivasa Eye Hospital,"No.60, Near Banaswadi Bus Stop, Banaswadi Main Road"
"13.012684, 77.616496",Al- Habeeb Hospital,"5, Arabic College Main Road, Banglore"
"12.9921542, 77.6001477",J M J Hospital,Nagarwara
"13.0100273, 77.6185286",Mediscon Nursing Home,"No.9,Pillanna Garden 3Rd Stage"
"13.0055118, 77.612314",Mediscope Hospital,"11, Pillanna Garden 3Rd Stage (Tanery Road) Kadugondanahalli"
"30.267153, -97.7430608",Alisa Eye Clinic and Daycare Microsurgical Centre,"#6/3,Cambell Road,Next To St.Philomena`S Hospital Austin Town"
"30.4505663, -97.6669009",Austin Town Meternity Hospital,"Near Austin Town Bus Stop,  South"
"12.9550291, 77.6142102",Get Well Hospital,"#20, 7Th Cross Rosegarden, Neelasandra"
"12.9644017, 77.6069122",St. Philomenas Hospital - Bangalore,"No. 4, Mother Theresa Road, Campbell Road"
"13.0260188, 77.720429",Geetha Hospital,Avalahalli Virgonagar Old Madras Road Bangaror
"13.036048, 77.735852",S.N. Hospital,"Avalahalli, Virgonagar P.O."
"25.9384228, 87.4033964",Cosmo Multispeciality Hospital,"65, 1St Cross, Kalidasa Layout, Kalidasa Circle, Srinagar"
"12.9390172, 77.5528742",Dr. Natesh E.N.T and Surgical Care Centre,"#8/45, 80 Feet Road, ,S.B.M. Colony,Banashankari 1 St Stage"
"12.9813958, 77.5264159",Karthik Netralaya Institute Of Opthalmology Pvt Ltd,"#89, 7Th Cross N R Colony, Ashok Nagar"
"12.9440808, 77.5547283",Sannidhi Speciality Center,"237/37, 10Th Main Nagendra Block Srinagar"
"12.93921, 77.5626634",Sunetra Eye Hospital,"No 519/34, 2Nd Cross 10Th Main, Bsk 1St Stage Banashankari"
"12.9444533, 77.5537803",Trinetraalaya Eye Care and Surgical Centre,"No-22/2, 13Th Main, Banashankari,1St Stage, 3Rdblock, Shrinagar"
"13.0296311, 77.5911303",Vinayaka Hospital,"#110, 1St Main Sbm Colony, Bsk 1St Stage, Hanumanthanagar"
"19.7865252, 74.0678281",Narayana Hrudayalaya Csi Hospital,"H.K.P.Road, Shivajinagar"
"12.9617715, 77.5632619",Amar Hospital,"7Th Cross, Rangaswamy Temple Street"
"13.0018523, 77.5745652",Atreya Charitable Trust,"816/77, Samskruti, 11Th Cross, Malleshwara, Vyalikaval"
"12.9688855, 77.5698292",Babu Clinic and Piles Proctology Hospital,73 74 Binny Mill Road Cottonpet Cross
"12.9644418, 77.5705436",Cottonpet Meternity Home,"Adinarayana Temple Street, 7Th Cross Cotton Pet,  South"
"19.2105512, 72.8748702",Mahesh Clinic,202/3 Mahesh Towers R T Street
"12.9936758, 77.5733436",Radha Maternity and Surgical Hospital,"No.71, Mill Road, Cottonpet"
"-32.214234, 116.010362",Sreeniwasa Hospital,"No. 12, Park Road, Bale Peth"
"13.0280231, 77.5614553",Aradhana Netra Mandira,"#67, 9Th Main, Next To Dr.Shah`S Diagnostic Centre, Hmt Main Road, Mathikere"
"12.9137428, 77.6374282",Narayana Hrudayalaya Superspecialty Clinic and Diagnostic Center,"43/A, 1St Floor, Bda Complex, 6Th Sector, Hsr Layout"
"13.030329, 77.5604111",Subbiah Hospital ( A Unit Of Shirdi Sai Hospital Pvt. Ltd. ),"No. 31, M. S. Ramaiah Road, Mathikere"
"13.0636862, 77.5833342",Sumathi Nursing and Maternity Home,"#426/12, 2 Cross,Mathikere Layout,Behind Canara Bank"
"13.0073411, 77.5687973",Chhaya Nursing Home,"No 47, 17Th Cross Malleswaram"
"13.0018482, 77.5697162",Lakshmi Maternity Home,"No. 95 and 96, Margosa Road, 15Th Cross, Malleswaram"
"13.008767, 77.5657871",Manjunatha Maternity Home and Surgical Centre,"# 90/1, West Park Road,Between 17Th And 18Th Cross,Malleswaram"
"13.0073411, 77.5687973",Si Chhaya Multi Speciality Hospital,"# 47, 17Th Cross, Malleshwaram"
"12.9590613, 77.5238151",Krishna Loka Hospital,"80Ft Road, Gnana Jyothi Nagar"
"13.0412034, 77.5579956",Nathrushree Nethralaya,"818/819 16Th 'A' Main, 2Nd Cross Gokul Extension, Mathikere"
"12.9453066, 77.4971113",Sri Rajeshwari Hospital,"110, Mariyappanapalya, Jnanabharathi"
"12.98061, 77.538619",Aasha Hospital,"No 11/2, Magadi Main Road ,Agrahara Dasarahalli"
"13.0542174, 77.5096278",Deepak Nursing Home,"Old Widia School Stop,Hesarsghatta Main Road,Bhuvaneshwari Nagar,T. Dasarahalli"
"13.0965073, 77.5420588",Dr Ramachandra Hospital,"No.30 Hesaraghatta Road , T Dasarahalli"
"13.039944, 77.518339",Krishna Hospital,"#24, 2Nd Cross, Excel Kalyana Mantapa Road,Jalahalli Cross,T. Dasarahalli"
"13.0460754, 77.5209231",Shree Matha Speciality Clinic For Piles and Proctolo,"No. 9, 1St Floor , Near Ayyappa Temple, S.M. Road, Jalahalli West"
"13.0430279, 77.5125327",Sri Raghavendra Hospital,"13/4, T Dasarahalli Tumkur Road"
"13.0506057, 77.5118463",Sri Venkateshwara Eye Hospital,"No. 15, Drls Plaza, 1St Floor, Nh-4, Above Andhra Bank, T. Dasarahalli"
"13.0506057, 77.5118463",Vijaya Nursing Home,"13/02, Mahimappa Complex, Nh-4, T.Dasarahalli"
"12.9594745, 77.560953",Amruth Biological and Clinical Services Pvt Ltd.,"No.19,2Nd Main Road,1St Phase, Peenya Industrial Area"
"13.0314031, 77.5291865",Panchamukhi Hospital,1St Main 2Nd Stage Peenya
"13.0087538, 77.5263961",Ravi Kirlosker Memorial Hospital,"19, 2Nd Main Road, 1St Phase Peenya Industrial Area"
"13.0152952, 77.5203623",Sai Baba Hospital,"No.12, Laggere Main Road, Laggere, Bengaluru"
"13.0576513, 77.5967615",Sri Venkateshwara Hospital,"I Main Road, ,Peenya Ii Stage"
"12.9120093, 77.5583998",Chinmayi Hospital,"34, Brindavan Layout Subramanyapura Main Road"
"12.9890609, 77.5820957",Mallige Medical Centre,"No.31, Crescent Road, High Grounds"
"12.9057641, 77.5428665",Nagarathna Hospital,"Srinivasa Complex,No.4,1St Floor,Off Uttarahalli Subramanyapura Main Road"
"13.1004849, 77.5940134",Saranalaya Hospital,"Near Bagalur Cross Signal,International Airport Main Road,Yelahanka"
"13.1026716, 77.5668889",Akshaya Nursing Home,"# 33/34,2Nd Stage,Balaji Avenue, Attur Main Road, Yelahanka New Town"
"13.0931058, 77.5861201",Chaitanya Medical Centre Maternity and Surgical Care,"Khb Satellite Town, A Sector, Yelahanka"
"13.1002784, 77.580947",Girish Eye and Children Clinic,"793, 8Th `A` Cross, `A` Sector, Yelahanka New Town"
"13.1004849, 77.5940134",Govt Hospital,"Yelahanka,  Urban, , B.N"
"13.0948638, 77.5772344",Kamal Maternity and Surgical Nursing Home,"# 29, 1St Main, Sharad Nagar, Behind Yelahanka New Town"
"13.1004849, 77.5940134",Kk Hospital,"No: 9, A1, A2 Opp: Mec School, A-Sector Yelahanka"
"13.1077823, 77.5716915",Neha Prakash Hospital,"8, 6Th Main Road 5Th Phase, Yelahanka New Town"
"13.0992667, 77.5817948",New City Hospital,"No.2558, Hig,16Th Bcross, Yelahanka New Town"
"13.1042445, 77.5713193",Prasad Hospital,"2069/2074, 16Th B Cross, (Near Mother Dairy Cross), Yelahanka New Town"
"13.1008405, 77.5945732",Railways Hospital,Yelahanka
"13.6781837, 79.352188",Rajankunte Hospital,Tirumala Doddaballapur Road Opp Rajakunte Police Station
"13.1042445, 77.5713193",Rangalakshmi Netralaya,"No 2054,13 Th Main 3 Rd Phase , Mother Diary Cross, Yelahanka New Town"
